Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
530297,21586,KINGS CHOICE GIANT TUBE MATCHES,1,2010-11-02T12:37:00.000,2.55,14966,United Kingdom
505209,22087,PAPER BUNTING WHITE LACE,1,2010-04-20T17:25:00.000,2.95,14081,United Kingdom
537447,22569,FELTCRAFT CUSHION BUTTERFLY,4,2010-12-07T09:21:00.000,3.75,13963,United Kingdom
525029,85014B,RED RETROSPOT UMBRELLA,1,2010-10-03T12:13:00.000,5.95,13838,United Kingdom
529203,22819,"BIRTHDAY CARD, RETRO SPOT",24,2010-10-27T09:59:00.000,0.42,14911,EIRE
519560,82486,WOOD S/3 CABINET ANT WHITE FINISH,1,2010-08-18T11:34:00.000,16.13,,United Kingdom
495243,35809B,ENAMEL BLUE RIM TEA CONTAINER,6,2010-01-22T10:28:00.000,2.1,14209,United Kingdom
520364,22300,COFFEE MUG DOG + BALL DESIGN,6,2010-08-25T14:18:00.000,2.55,18077,United Kingdom
499880,22260,FELT EGG COSY BLUE RABBIT ,12,2010-03-03T10:11:00.000,0.85,13663,United Kingdom
535322,47559B,TEA TIME OVEN GLOVE,1,2010-11-25T15:19:00.000,2.51,,United Kingdom
